Team,Player,Role,Batting Style,Bowling
Up Warriorz,Shabnim Ismail,Bowler,Left Handed,Right-arm fast medium
Up Warriorz,Rajeshwari Gayakwad,Bowler,Right Handed,Slow left-arm orthodox
Up Warriorz,Deepti Sharma,Bowler,Left Handed,Off break
Up Warriorz,Shweta Sehrawat,Bowler,Right Handed,Offbreak
Up Warriorz,Parshavi Chopra,All Rounder,Right Handed,Leg break
Up Warriorz,Devika Vaidya,All Rounder,Left Handed,Leg break googly
Up Warriorz,Grace Harris,All Rounder,Right Handed,Off break
Up Warriorz,Sophie Ecclestone,Bowler,Right Handed,Slow left-arm orthodox
Up Warriorz,Tahlia McGrath,All Rounder,Right Handed,Right-arm medium fast
Up Warriorz,Lauren Bell,Bowler,Right Handed,Right-arm fast medium
Up Warriorz,Anjali Sarvani,Bowler,Left Handed,Left-arm medium fast
Up Warriorz,Kiran Navgire,Batsman,Right Handed,Off break
Up Warriorz,Simran Shaikh,All Rounder,Right Handed,-
Up Warriorz,S. Yashasri,Batsman,Right Handed,Right-arm medium
Up Warriorz,Laxmi Yadav,Wicket Keeper,Right Handed,Right-arm medium
Gujarat Giants,Deandra Dottin,Batsman,Right Handed,Right-arm fast medium
Gujarat Giants,Sushma Verma,Wicket Keeper,Right Handed,-
Gujarat Giants,Mansi Joshi,Bowler,Right Handed,Right-arm medium fast
Gujarat Giants,Hurley Gala,Bowler,Right Handed,Right-arm medium
Gujarat Giants,Shabnam Shakil,Bowler,Right Handed,Right-arm medium
Gujarat Giants,Beth Mooney,Batsman,Left Handed,-
Gujarat Giants,Sabbineni Meghana,Batsman,Right Handed,Right-arm medium
Gujarat Giants,Ashleigh Gardner,All Rounder,Right Handed,Off break
Gujarat Giants,Annabel Sutherland,All Rounder,Right Handed,Right-arm medium fast
Gujarat Giants,Georgia Wareham,Bowler,Right Handed,Leg break
Gujarat Giants,Dayalan Hemalatha,Batsman,Right Handed,Off break
Gujarat Giants,Sophia Dunkley,Batsman,Right Handed,Leg break
Gujarat Giants,Tanuja Kanwer,Bowler,Left Handed,Left-arm medium fast
Gujarat Giants,Harleen Deol,Batsman,Right Handed,Off break
Gujarat Giants,Monica Patel,Bowler,Left Handed,Left-arm medium
Gujarat Giants,Ashwani Kumari,Bowler,Right Handed,Right-arm medium
Gujarat Giants,Parunika Sisodia,All Rounder,Right Handed,Right-arm medium
Royal Challengers Bangalore,Dane van Niekerk,Batsman,Right Handed,Leg break
Royal Challengers Bangalore,Heather Knight,Batsman,Right Handed,Off break
Royal Challengers Bangalore,Ellyse Perry,Bowler,Right Handed,Right-arm fast medium
Royal Challengers Bangalore,Sophie Devine,All Rounder,Right Handed,Right-arm medium
Royal Challengers Bangalore,Megan Schutt,Bowler,Right Handed,Right-arm fast medium
Royal Challengers Bangalore,Smriti Mandhana,Batsman,Left Handed,Off break
Royal Challengers Bangalore,Richa Ghosh,Wicket Keeper,Right Handed,Right-arm medium
Royal Challengers Bangalore,Preeti Bose,Bowler,Right Handed,Off break
Royal Challengers Bangalore,Erin Burns,All Rounder,Right Handed,Off break
Royal Challengers Bangalore,Renuka Singh,Bowler,Right Handed,Right-arm fast medium
Royal Challengers Bangalore,Komal Zanzad,Bowler,Right Handed,Left-arm medium fast
Royal Challengers Bangalore,Poonam Khemnar,Batsman,Right Handed,Leg break
Royal Challengers Bangalore,Sahana Pawar,Bowler,Right Handed,Slow left-arm orthodox
Royal Challengers Bangalore,Indrani Roy,Wicket Keeper,Right Handed,Right-arm medium fast
Royal Challengers Bangalore,Shreyanka Patil,All Rounder,Right Handed,Off break
Royal Challengers Bangalore,Disha Kasat,All Rounder,Right Handed,Right-arm medium fast
Royal Challengers Bangalore,Kanika Ahuja,Bowler,Right Handed,Right-arm medium
Royal Challengers Bangalore,Asha Shobana,All Rounder,Right Handed,Right-arm medium fast
Delhi Capitals,Marizanne Kapp,Batsman,Right Handed,Right-arm medium
Delhi Capitals,Meg Lanning,Batsman,Right Handed,Right-arm medium
Delhi Capitals,Poonam Yadav,Bowler,Right Handed,Leg break googly
Delhi Capitals,Shikha Pandey,Bowler,Right Handed,Right-arm medium
Delhi Capitals,Shafali Verma,Batsman,Right Handed,Off break
Delhi Capitals,Titas Sadhu,All Rounder,Right Handed,Right-arm medium fast
Delhi Capitals,Laura Harris,Batsman,Right Handed,Right-arm medium
Delhi Capitals,Radha Yadav,Bowler,Right Handed,Slow left-arm orthodox
Delhi Capitals,Jemimah Rodrigues,Batsman,Right Handed,Off break
Delhi Capitals,Taniya Bhatia,Wicket Keeper,Right Handed,-
Delhi Capitals,Arundhati Reddy,Bowler,Right Handed,Right-arm medium fast
Delhi Capitals,Minnu Mani,All Rounder,Left Handed,Off break
Delhi Capitals,Jasia Akhter,Bowler,Right Handed,Right-arm medium
Delhi Capitals,Tara Norris,Bowler,Left Handed,Left-arm medium
Delhi Capitals,Aparna Mondal,Wicket Keeper,Right Handed,-
Delhi Capitals,Alice Capsey,Batsman,Right Handed,Off break
Mumbai Indians,Chloe Tyron,All Rounder,Right Handed,Left-arm medium fast
Mumbai Indians,Harmanpreet Kaur,Batsman,Right Handed,Off break
Mumbai Indians,Nat Sciver-Brunt,All Rounder,Right Handed,Right-arm medium
Mumbai Indians,Sonam Yadav,Bowler,Right Handed,Off Spin
Mumbai Indians,Hayley Matthews,All Rounder,Right Handed,Off break
Mumbai Indians,Amelia Kerr,All Rounder,Right Handed,Leg break
Mumbai Indians,Heather Graham,All Rounder,Right Handed,Right-arm medium fast
Mumbai Indians,Pooja Vastrakar,All Rounder,Right Handed,Right-arm medium
Mumbai Indians,Neelam Bisht,Bowler,Right Handed,Off break
Mumbai Indians,Issy Wong,Bowler,Right Handed,Right-arm fast medium
Mumbai Indians,Yastika Bhatia,Wicket Keeper,Left Handed,Slow left-arm orthodox
Mumbai Indians,Dhara Gujjar,All Rounder,Left Handed,Right-arm medium fast
Mumbai Indians,Amanjot Kaur,Batsman,Right Handed,-
Mumbai Indians,Humairaa Kaazi,Batsman,Right Handed,Right-arm medium
Mumbai Indians,Saika Ishaque,Bowler,Right Handed,Right-arm medium
Mumbai Indians,Jintimani Kalita,All Rounder,Right Handed,Right-arm medium
Mumbai Indians,Priyanka Bala,Wicket Keeper,Right Handed,Right-arm medium fast
Up Warriorz,Alyssa Healy,Wicket Keeper,Right Handed,-
Delhi Capitals,Jess Jonassen,Bowler,Left Handed,Slow left-arm orthodox
Gujarat Giants,Sneh Rana,All Rounder,Right Handed,Off break
Delhi Capitals,Sneha Deepthi,Batsman,Right Handed,Off break
